position,artist,song,year,raw_total,raw_usa,raw_uk,raw_eur,raw_row
1,"Bing Crosby","White Christmas",1942,39.9030,23.9290,5.7000,2.1850,0.5400
2,"Bill Haley & his Comets","Rock Around the Clock",1955,36.5030,19.9610,7.4580,5.6630,0.7600
3,"Celine Dion","My Heart Will Go On",1998,35.4050,12.6360,8.9440,23.7010,3.6100
4,"Sinead O'Connor","Nothing Compares 2 U",1990,35.1350,14.5820,10.2420,23.7470,2.7330
5,"The Beatles","Hey Jude",1968,34.4420,25.5450,16.3900,16.5410,1.5100
6,"Bryan Adams","(Everything I Do) I Do it For You",1991,34.3670,16.5230,12.3680,23.1940,3.1210
7,"Whitney Houston","I Will Always Love You",1992,34.1120,14.8730,11.2900,20.7530,4.4600
8,"Pink Floyd","Another Brick in the Wall (part 2)",1980,32.0200,13.0810,13.3390,23.3470,1.5530
9,"Irene Cara","Flashdance... What a Feeling",1983,31.3050,15.1800,11.1150,17.8030,2.6860
10,"Elton John","Candle in the Wind '97",1997,31.0540,7.4120,12.3940,20.3580,3.1890
11,"The Rolling Stones","(I Can't Get No) Satisfaction",1965,31.0540,22.9260,10.2580,11.2520,0.5560
12,Coolio,"Gangsta's Paradise",1995,30.8220,11.0360,8.0730,22.9880,1.0730
13,Eminem,"Lose Yourself",2002,30.5540,12.9940,7.1430,15.6900,2.0830
14,Cher,Believe,1998,30.0650,9.4180,10.8940,20.8880,1.8720
15,Usher,Yeah!,2004,29.5350,14.6470,8.4000,13.7270,1.0000
16,"The Beatles","Let it Be",1970,29.4430,16.8810,13.2340,15.8880,2.2310
17,"Procol Harum","A Whiter Shade of Pale",1967,29.4280,12.0180,15.6020,16.8330,0.5580
18,"Bee Gees","Stayin' Alive",1978,29.3470,16.1600,12.8740,17.8650,0.5710
19,"Leona Lewis","Bleeding Love",2008,29.3160,9.5120,10.0500,16.3240,1.0760
20,"The Police","Every Breath You Take",1983,28.9760,17.9050,11.4340,10.7740,1.1770
21,"Kim Carnes","Bette Davis Eyes",1981,28.9190,16.1840,7.2890,19.7350,1.5000
22,"Rihanna & Jay-Z",Umbrella,2007,28.6530,11.1170,8.8330,14.7060,1.6110
23,"George Harrison","My Sweet Lord",1971,27.5980,11.7050,14.6440,18.0020,1.0850
24,Abba,"Dancing Queen",1976,27.5820,13.6300,14.3910,16.4010,0.5370
25,"P Diddy & Faith Evans","I'll Be Missing You",1997,27.5430,6.8400,8.9200,21.6600,2.7710
26,"Britney Spears","Baby One More Time",1999,27.4870,6.9370,10.6290,22.0050,1.8530
27,"The Beatles","I Want to Hold Your Hand",1964,27.4700,23.0420,9.1710,8.1920,1.0100
28,"Michael Jackson","Billie Jean",1983,27.3950,12.3990,11.7370,19.0100,1.0100
29,"Bobby Darin","Mack the Knife",1959,27.3300,19.3600,5.5830,3.7400,0.5500
30,"John Travolta & Olivia Newton-John","You're the One That I Want",1978,26.7900,8.0460,14.9920,22.1450,0.5550
31,"USA For Africa","We Are the World",1985,26.6810,10.8550,13.6270,18.7610,1.5100
32,Hanson,Mmmbop,1997,26.5740,6.8040,9.4000,16.6250,3.5480
33,Madonna,Vogue,1990,26.5040,9.5860,8.3530,17.7400,2.7010
34,"Spice Girls",Wannabe,1996,26.3290,6.7560,10.2100,20.2600,1.7400
35,"Roy Orbison","Oh, Pretty Woman",1964,26.3090,16.8590,11.6990,10.4130,0.0100
36,Eminem,"Without Me",2002,26.2250,8.2660,8.0850,15.4310,2.2330
37,"The Village People",YMCA,1978,25.9510,8.8850,13.5740,20.6660,0.6530
38,"Stevie Wonder","I Just Called to Say I Love You",1984,25.9390,8.7600,13.4160,24.3930,0.8330
39,"George Michael","Careless Whisper",1984,25.8900,12.4390,13.2170,16.4670,0.7500
40,"John Lennon",Imagine,1971,25.7320,14.5670,17.9780,9.7550,1.1190
41,Survivor,"Eye of the Tiger",1982,25.7080,12.2650,13.2640,11.5370,0.5540
42,"Los Del Rio",Macarena,1996,25.6870,9.3130,5.2530,18.2400,3.0930
43,"Elvis Presley","Are You Lonesome Tonight?",1960,25.6570,12.0570,9.1980,7.5900,0.0100
44,UB40,"Can't Help Falling in Love",1993,25.5870,8.8140,8.7370,16.1230,3.0320
45,OutKast,"Hey Ya!",2003,25.5430,13.6450,4.4830,9.7780,1.9720
46,Queen,"Bohemian Rhapsody",1976,25.4680,11.8190,19.7800,9.5720,0.5380
47,"Barbra Streisand","A Woman in Love",1980,25.3650,8.1260,10.2990,23.3770,0.5110
48,"Katy Perry","I Kissed A Girl",2008,25.3650,6.0040,9.7670,16.3080,0.5910
49,"Judy Garland","Over the Rainbow",1939,25.2910,17.1590,3.0000,0.7000,0.0000
50,"Elvis Presley","It's Now Or Never",1960,25.2540,9.7890,11.6250,6.5870,0.6670
51,"No Doubt","Don't Speak",1997,25.1420,6.6870,9.3950,18.5220,1.6730
52,"Shakira & Wyclef Jean","Hips don't lie",2006,25.0900,8.2960,6.8330,18.4960,1.2820
53,"50 Cent","In Da Club",2003,25.0130,10.5760,8.1670,11.6430,0.5180
54,"Kylie Minogue","Can't Get You Out of My Head",2001,24.9650,5.8930,8.6030,21.5740,1.9280
55,"The Black Eyed Peas","Where is the Love?",2003,24.9450,6.8860,8.4000,15.9680,1.5500
56,"The Rolling Stones",Angie,1973,24.6020,8.7930,9.2670,16.6860,1.0330
57,"Mungo Jerry","In the Summertime",1970,24.3450,8.9630,13.3180,17.7060,0.5470
58,"Vaughn Monroe","(Ghost) Riders in the Sky",1949,24.3240,12.3710,6.0000,0.5300,0.5830
59,"Lady GaGa","Poker Face",2009,24.2700,8.6190,9.1910,18.3330,0.5710
60,"Ace of Base","The Sign",1994,24.2020,9.2740,6.9500,12.4050,3.8330
61,"Carl Douglas","Kung Fu Fighting",1974,24.1440,7.8820,13.7980,16.1920,0.5870
62,"Justin Timberlake",Sexyback,2006,24.0620,9.0800,7.8500,10.2180,2.5710
63,Madonna,"Hung Up",2005,23.9350,6.4520,5.5520,19.7780,2.6500
64,"Elvis Presley","Jailhouse Rock",1957,23.8270,13.3120,6.2940,4.5370,0.0100
65,"The Beatles",Help!,1965,23.8200,12.6650,9.8320,9.8090,0.5210
66,"Joan Jett & The Blackhearts","I Love Rock 'n' Roll",1982,23.7390,13.4220,10.5380,9.4520,0.5290
67,"Ricky Martin","Livin' La Vida Loca",1999,23.7290,9.0860,7.9420,9.1230,3.5150
68,"The Monkees","I'm a Believer",1967,23.6290,15.5250,14.7690,8.6380,0.5390
69,Shakira,"Whenever, Wherever",2002,23.6200,3.5430,8.7530,20.7570,1.7150
70,"Rihanna & Calvin Harris","We Found Love",2011,23.3730,10.5890,6.5830,6.5630,0.0000
71,"Frank Sinatra","Strangers in the Night",1966,23.3480,15.4840,8.0490,11.8040,0.5910
72,"Bruce Springsteen","Streets of Philadelphia",1994,23.2340,9.0770,5.0330,20.5240,1.5530
73,"The Righteous Brothers","Unchained Melody",1965,23.1990,15.6160,9.2390,7.0750,1.1010
74,All-4-One,"I Swear",1994,23.1630,8.3480,8.4060,14.5800,1.8070
75,"Glenn Miller","In the Mood",1940,23.1530,13.6660,1.5000,2.6220,0.5830
76,"Lou Bega","Mambo No 5 (A Little Bit of ...)",1999,23.0680,3.5430,9.7350,22.0740,1.6570
77,"Doris Day","Que sera sera (Whatever will be will be)",1956,23.0580,10.6910,6.5290,4.2870,0.5630
78,"Flo-Rida & T-Pain",Low,2008,23.0530,12.4110,9.6000,2.8870,0.8330
79,"Nat King Cole","Mona Lisa",1950,23.0020,16.2230,2.5000,1.0980,0.5670
80,"Terry Jacks","Seasons in the Sun",1974,23.0000,8.1300,14.1170,15.1530,0.0100
81,"Culture Club","Karma Chameleon",1983,22.9670,7.1640,15.8180,15.8980,0.5290
82,Aerosmith,"I Don't Want to Miss a Thing",1998,22.9600,7.6090,6.5040,17.0430,1.7480
83,Blondie,"Heart of Glass",1979,22.9290,11.9650,14.4940,13.5010,0.5200
84,"Boyz II Men","End of the Road",1992,22.8980,12.2870,7.9050,8.6560,2.5670
85,"The Fugees","Killing Me Softly With His Song",1996,22.8610,3.6200,8.4390,23.0860,1.6860
86,"Tony Orlando & Dawn","Tie a Yellow Ribbon 'round the Old Oak Tree",1973,22.8580,12.3390,15.2190,6.9330,0.5930
87,Fergie,"Big Girls Don't Cry",2007,22.6150,8.6950,8.5000,7.3000,2.0200
88,"Shocking Blue",Venus,1970,22.5350,9.3660,12.3200,14.3200,1.1180
89,Eagles,"Hotel California",1977,22.5320,17.3330,6.8620,8.9900,1.0850
90,"Bing Crosby","Swinging On a Star",1944,22.4680,15.7610,2.2000,0.5710,0.5160
91,"The Beatles","All You Need is Love",1967,22.4480,9.4150,13.0040,11.9300,0.5310
92,"Chubby Checker","The Twist",1960,22.4200,19.0390,4.7160,1.6000,0.5670
93,"Nelly & Kelly Rowland",Dilemma,2002,22.4010,7.3230,6.0110,15.3610,1.4100
94,"The Beatles","She Loves You",1964,22.3980,15.7360,10.6260,6.8800,0.6770
95,Beyonce,"Crazy in Love",2003,22.1390,10.0300,3.6320,10.2820,2.6510
96,"The Black Eyed Peas","I Gotta Feeling",2009,22.1260,8.0740,9.0000,14.4760,0.5670
97,"John Lennon","(Just Like) Starting Over",1980,22.0940,11.8930,10.5580,10.6740,1.1870
98,"Culture Club","Do You Really Want to Hurt Me?",1982,22.0650,5.6700,9.9880,19.0350,0.5500
99,"Brandy & Monica","The Boy is Mine",1998,22.0260,9.2280,5.8110,10.4570,2.5970
100,Madonna,"Like a Prayer",1989,21.9920,9.6170,9.0060,18.4340,2.0260
101,"Sean Kingston","Beautiful Girls",2007,21.9630,5.2740,9.2000,8.2920,2.8500
102,Prince,"When Doves Cry",1984,21.9020,16.0900,8.1100,6.3760,0.5230
103,"The Beatles",Yesterday,1965,21.8790,16.5340,4.3190,9.0830,1.0100
104,"The Pussycat Dolls","Don't Cha",2005,21.8640,4.9570,9.5000,12.4370,2.0590
105,"Bee Gees","Night Fever",1978,21.8540,11.4440,10.4370,10.4060,1.5000
106,"Diana Ross","Upside Down",1980,21.7350,11.1520,7.7830,15.7260,0.5270
107,Madonna,Music,2000,21.6880,7.2460,7.0930,14.2840,2.6620
108,Nickelback,"How You Remind Me",2002,21.6370,10.6300,4.6210,8.4060,1.5890
109,Archies,"Sugar Sugar",1969,21.6130,17.3180,9.9900,10.9670,0.6350
110,"Christina Aguilera, Lil' Kim, Mya & Pink","Lady Marmalade (Voulez-Vous Coucher Aver Moi Ce Soir?)",2001,21.5570,6.8630,7.8340,14.1750,1.3890
111,A-Ha,"Take On Me",1985,21.5270,9.1770,6.9790,20.9590,0.5660
112,"Las Ketchup","The Ketchup Song (Asereje)",2002,21.4800,1.2450,9.1000,21.7830,1.3500
113,"The Beatles","Get Back",1969,21.4310,12.5430,13.5300,12.0110,0.6770
114,"Rob Thomas & Santana",Smooth,1999,21.3970,13.7080,3.9090,3.7270,2.0590
115,Snow,Informer,1993,21.3440,5.2390,7.1680,17.8390,2.8130
116,"Timbaland & OneRepublic",Apologize,2007,21.2610,6.7290,6.0000,15.7110,0.5240
